gourd_type,variety_name,season,avg_temperature,avg_humidity,avg_rainfall_mm,soil_moisture,fertilizer_type,fertilizer_frequency,plant_health_score,successful_pollinations,predicted_days_to_maturity,mature_fruit_count,avg_fruit_weight_kg,total_yield_kg
bottle_gourd,upo_round,wet,28.8,88.0,12.9,69.8,mixed,monthly,5,21,55,21,1.77,37.17
bottle_gourd,upo_round,wet,27.4,72.1,24.8,58.5,chemical,none,3,10,59,10,2.23,22.3
sponge_gourd,patola,wet,26.1,83.8,28.9,77.0,chemical,none,4,13,49,13,0.57,7.41
bottle_gourd,upo_long,dry,33.4,56.3,1.8,62.7,mixed,none,4,15,54,15,2.46,36.9
cucumber,pipino_japanese,wet,30.7,78.2,20.3,79.1,organic,biweekly,4,20,41,20,0.37,7.4
sponge_gourd,patola,wet,26.0,85.5,20.5,65.2,organic,weekly,4,18,43,18,0.39,7.02
bitter_gourd,ampalaya_oblong,wet,27.0,86.0,21.7,66.3,none,none,4,12,46,12,0.36,4.32
cucumber,pipino_japanese,wet,29.3,73.3,11.3,67.2,mixed,biweekly,4,18,34,18,0.29,5.22
cucumber,pipino_native,wet,29.0,84.4,27.1,75.9,chemical,monthly,5,15,38,15,0.37,5.55
bottle_gourd,upo_smooth,dry,32.8,62.8,9.9,67.4,mixed,monthly,4,14,58,14,3.1,43.4
bitter_gourd,ampalaya_hybrid,dry,33.5,67.6,0.5,72.1,mixed,weekly,5,15,46,15,0.27,4.05
cucumber,pipino,dry,27.6,69.9,4.4,68.6,none,monthly,4,14,39,14,0.17,2.38
bitter_gourd,ampalaya_bilog,dry,33.2,74.9,2.7,78.1,organic,monthly,4,13,48,13,0.39,5.07
cucumber,pipino_native,wet,29.2,72.4,20.3,66.6,chemical,biweekly,4,13,34,13,0.27,3.51
bitter_gourd,ampalaya_bilog,wet,27.0,72.7,27.6,53.6,organic,weekly,4,18,44,18,0.16,2.88
cucumber,pipino,wet,29.9,77.0,14.1,70.4,none,none,3,10,41,10,0.35,3.5
bitter_gourd,ampalaya_oblong,dry,31.3,71.2,6.8,51.8,none,biweekly,3,5,47,5,0.17,0.85
sponge_gourd,patola_smooth,wet,30.1,88.3,16.1,70.7,mixed,none,5,15,44,15,0.79,11.85
sponge_gourd,patola,wet,29.2,83.8,14.1,65.0,chemical,biweekly,5,13,43,13,0.62,8.06
cucumber,pipino_native,wet,26.7,72.1,23.3,52.8,mixed,biweekly,3,18,33,18,0.27,4.86
cucumber,pipino,wet,30.9,83.3,25.4,69.0,chemical,weekly,3,9,44,9,0.27,2.43
sponge_gourd,patola_ridged,dry,31.6,63.5,7.4,50.5,none,monthly,3,8,53,8,0.31,2.48
sponge_gourd,patola_ridged,dry,25.1,70.6,4.2,61.3,none,biweekly,3,9,50,9,0.37,3.33
bitter_gourd,ampalaya_bilog,dry,31.8,63.9,6.6,52.6,none,none,3,3,52,3,0.46,1.38
sponge_gourd,patola,wet,27.4,88.6,13.0,52.6,organic,biweekly,3,11,49,11,0.37,4.07
cucumber,pipino,wet,29.0,79.1,10.7,53.9,none,monthly,4,6,38,6,0.26,1.56
cucumber,pipino,dry,33.0,59.4,3.1,58.0,none,weekly,3,8,41,8,0.25,2.0
sponge_gourd,patola_ridged,dry,24.3,55.9,8.7,80.0,none,weekly,4,7,45,7,0.39,2.73
bitter_gourd,ampalaya_hybrid,wet,26.3,77.3,11.8,63.5,mixed,weekly,4,17,46,17,0.25,4.25
bitter_gourd,ampalaya_bilog,dry,28.6,63.1,4.5,70.8,organic,monthly,3,10,52,10,0.31,3.1
bitter_gourd,ampalaya_oblong,wet,29.6,79.4,19.8,71.0,organic,monthly,5,21,43,21,0.48,10.08
bottle_gourd,upo_round,wet,30.3,87.5,20.8,70.1,chemical,biweekly,4,14,55,14,1.3,18.2
cucumber,pipino_japanese,dry,24.3,67.3,4.3,58.7,none,biweekly,3,9,39,9,0.22,1.98
bitter_gourd,ampalaya_hybrid,dry,33.7,67.7,7.4,65.6,mixed,none,4,10,46,10,0.35,3.5
bitter_gourd,ampalaya_hybrid,dry,31.3,71.1,1.2,60.3,mixed,weekly,4,13,48,13,0.22,2.86
bottle_gourd,upo_long,dry,30.9,71.1,7.8,52.7,mixed,weekly,3,11,53,11,3.23,35.53
sponge_gourd,patola,dry,26.3,72.5,5.1,71.5,mixed,none,3,9,48,9,0.32,2.88
bitter_gourd,ampalaya_oblong,dry,25.9,58.7,4.0,62.6,organic,monthly,4,16,46,16,0.23,3.68
cucumber,pipino,dry,32.3,68.3,4.4,65.4,chemical,biweekly,3,7,40,7,0.34,2.38
cucumber,pipino,wet,29.2,80.8,16.5,79.2,organic,biweekly,5,12,33,12,0.27,3.24
cucumber,pipino,wet,26.6,83.3,21.4,58.6,mixed,none,4,20,37,20,0.39,7.8
bitter_gourd,ampalaya_oblong,wet,31.4,78.9,26.3,71.5,mixed,none,5,15,47,15,0.32,4.8
bitter_gourd,ampalaya_hybrid,dry,33.2,59.1,1.7,58.3,chemical,none,3,7,52,7,0.35,2.45
bitter_gourd,ampalaya_bilog,wet,29.1,73.2,30.0,60.5,organic,biweekly,4,17,45,17,0.34,5.78
cucumber,pipino_native,dry,35.0,61.2,5.5,71.0,none,monthly,3,14,39,14,0.16,2.24
cucumber,pipino_japanese,dry,31.8,56.5,0.0,71.0,organic,biweekly,5,17,34,17,0.39,6.63
sponge_gourd,patola_smooth,dry,28.4,64.1,8.9,62.2,organic,none,4,15,44,15,0.68,10.2
sponge_gourd,patola_smooth,dry,30.6,64.7,4.1,53.5,none,weekly,4,10,42,10,0.77,7.7
cucumber,pipino_japanese,dry,27.0,62.4,2.6,65.9,chemical,weekly,4,15,37,15,0.37,5.55
sponge_gourd,patola_ridged,wet,26.9,87.4,27.4,77.2,mixed,weekly,4,16,45,16,0.73,11.68
bottle_gourd,upo_long,dry,28.0,72.7,7.6,65.6,none,monthly,3,6,56,6,1.44,8.64
bottle_gourd,upo_round,wet,29.3,74.5,12.5,68.5,none,weekly,4,12,55,12,2.7,32.4
sponge_gourd,patola_smooth,wet,27.4,76.3,12.2,71.0,chemical,monthly,3,7,45,7,0.46,3.22
sponge_gourd,patola,wet,26.3,87.9,20.0,72.4,organic,weekly,3,12,52,12,0.69,8.28
sponge_gourd,patola_ridged,dry,27.6,55.8,8.9,79.1,none,monthly,3,8,42,8,0.4,3.2
bottle_gourd,upo_long,dry,30.8,65.9,0.3,63.5,none,monthly,3,8,56,8,1.68,13.44
cucumber,pipino,dry,27.4,59.5,7.7,79.4,organic,none,3,8,39,8,0.18,1.44
bitter_gourd,ampalaya_bilog,dry,27.3,62.2,2.1,51.9,organic,biweekly,3,10,45,10,0.15,1.5
cucumber,pipino_native,wet,26.5,77.6,20.2,54.6,chemical,none,4,17,43,17,0.2,3.4
cucumber,pipino_native,dry,29.5,69.7,5.4,61.2,organic,biweekly,4,20,36,20,0.18,3.6
cucumber,pipino_japanese,wet,26.3,76.7,14.4,67.9,none,weekly,4,16,37,16,0.33,5.28
sponge_gourd,patola_ridged,dry,28.5,61.6,0.5,61.8,mixed,none,4,15,50,15,0.39,5.85
bottle_gourd,upo_smooth,wet,29.7,73.5,13.8,70.1,mixed,weekly,3,9,57,9,1.43,12.87
sponge_gourd,patola,dry,24.1,70.8,0.6,58.8,chemical,none,4,12,45,12,0.56,6.72
bottle_gourd,upo_smooth,wet,30.6,83.6,28.3,73.7,none,none,3,9,58,9,2.93,26.37
bitter_gourd,ampalaya_oblong,wet,30.9,82.4,11.2,62.1,chemical,none,3,13,53,13,0.3,3.9
cucumber,pipino_japanese,dry,31.3,73.1,9.5,64.1,organic,weekly,4,15,38,15,0.32,4.8
bitter_gourd,ampalaya_hybrid,dry,28.3,66.5,0.6,56.1,organic,biweekly,4,17,49,17,0.49,8.33
cucumber,pipino_japanese,dry,25.9,71.3,8.0,57.6,none,monthly,4,15,37,15,0.24,3.6
sponge_gourd,patola,wet,29.4,84.9,11.5,62.6,organic,monthly,4,12,42,12,0.33,3.96
cucumber,pipino_japanese,wet,28.6,76.5,22.6,70.5,chemical,monthly,4,9,38,9,0.36,3.24
bitter_gourd,ampalaya_oblong,wet,28.9,80.3,19.1,53.0,mixed,biweekly,4,20,46,20,0.18,3.6
cucumber,pipino_native,wet,26.6,83.4,10.0,56.0,organic,biweekly,3,8,36,8,0.23,1.84
sponge_gourd,patola,dry,30.8,59.3,1.6,67.1,chemical,biweekly,3,5,51,5,0.37,1.85
cucumber,pipino,wet,28.3,75.7,22.9,66.7,mixed,monthly,3,4,42,4,0.32,1.28
cucumber,pipino_japanese,wet,29.9,88.1,13.6,74.3,chemical,none,4,16,40,16,0.33,5.28
sponge_gourd,patola,dry,25.0,55.7,3.1,76.9,organic,monthly,5,17,41,17,0.6,10.2
sponge_gourd,patola_ridged,dry,25.5,58.3,9.9,71.7,organic,biweekly,4,14,46,14,0.74,10.36
bottle_gourd,upo_long,wet,30.7,78.0,25.9,73.0,mixed,none,5,17,50,17,1.92,32.64
cucumber,pipino,wet,31.4,71.8,18.1,65.5,none,none,3,7,39,7,0.29,2.03
bitter_gourd,ampalaya_oblong,wet,26.8,83.5,22.2,50.1,mixed,biweekly,4,15,50,15,0.46,6.9
bottle_gourd,upo_long,dry,33.9,74.7,7.6,59.6,mixed,monthly,4,10,57,10,2.98,29.8
sponge_gourd,patola_smooth,wet,30.8,83.2,19.9,55.3,none,monthly,4,11,49,11,0.41,4.51
cucumber,pipino,dry,30.8,61.8,4.6,66.4,organic,weekly,4,16,37,16,0.19,3.04
sponge_gourd,patola_ridged,dry,30.6,61.8,0.8,79.9,mixed,weekly,4,10,47,10,0.75,7.5
sponge_gourd,patola_smooth,dry,25.3,70.4,1.2,67.7,organic,none,4,17,44,17,0.57,9.69
cucumber,pipino,dry,32.4,70.2,6.1,62.9,organic,biweekly,4,15,41,15,0.35,5.25
bitter_gourd,ampalaya_oblong,dry,31.6,73.9,8.1,69.2,organic,biweekly,4,16,45,16,0.36,5.76
cucumber,pipino,wet,30.5,72.9,10.2,50.5,organic,none,4,9,34,9,0.23,2.07
bitter_gourd,ampalaya_bilog,dry,29.2,68.2,7.3,55.3,chemical,none,5,11,42,11,0.46,5.06
sponge_gourd,patola_smooth,dry,25.9,57.4,5.8,57.2,mixed,none,3,10,48,10,0.31,3.1
cucumber,pipino_native,wet,30.5,88.9,23.5,55.6,none,monthly,3,8,43,8,0.35,2.8
cucumber,pipino,wet,28.0,87.0,16.8,73.6,organic,monthly,5,15,37,15,0.19,2.85
cucumber,pipino_native,dry,34.6,67.5,6.3,61.0,mixed,monthly,5,11,38,11,0.38,4.18
cucumber,pipino_native,wet,29.0,81.0,10.8,63.7,chemical,biweekly,3,11,41,11,0.36,3.96
sponge_gourd,patola_smooth,wet,28.6,82.7,14.1,74.9,chemical,monthly,4,17,41,17,0.43,7.31
bitter_gourd,ampalaya_bilog,wet,27.7,84.5,13.4,70.2,chemical,none,3,8,52,8,0.42,3.36
cucumber,pipino_japanese,wet,31.7,79.9,13.8,79.1,mixed,biweekly,3,10,47,10,0.3,3.0
cucumber,pipino_native,dry,33.4,61.3,0.3,50.6,organic,biweekly,3,13,39,13,0.38,4.94
bottle_gourd,upo_smooth,dry,29.2,74.2,2.0,77.6,chemical,none,3,8,51,8,1.74,13.92
cucumber,pipino_japanese,dry,31.2,74.7,6.1,53.0,mixed,none,4,20,42,20,0.37,7.4
cucumber,pipino,dry,34.9,58.5,3.4,74.0,none,monthly,4,4,37,4,0.25,1.0
cucumber,pipino_native,dry,25.3,56.0,7.5,66.5,mixed,monthly,4,9,38,9,0.33,2.97
bottle_gourd,upo_smooth,dry,32.6,72.1,1.7,57.2,organic,none,4,18,60,18,1.51,27.18
bottle_gourd,upo_round,dry,34.2,66.0,2.8,61.4,none,biweekly,4,6,51,6,2.19,13.14
bitter_gourd,ampalaya_bilog,dry,27.1,62.9,2.5,61.0,none,biweekly,4,12,52,12,0.34,4.08
cucumber,pipino_native,dry,26.2,60.0,4.3,77.4,none,weekly,3,7,46,7,0.16,1.12
sponge_gourd,patola,wet,28.6,86.5,29.7,69.2,mixed,biweekly,4,16,45,16,0.38,6.08
bitter_gourd,ampalaya_bilog,wet,31.5,80.6,17.1,63.8,chemical,biweekly,3,9,50,9,0.25,2.25
bitter_gourd,ampalaya_bilog,wet,28.8,81.1,15.6,79.3,chemical,weekly,4,14,50,14,0.41,5.74
sponge_gourd,patola,dry,28.2,72.6,0.3,59.5,organic,biweekly,3,12,47,12,0.57,6.84
bitter_gourd,ampalaya_oblong,wet,28.6,75.1,18.6,60.4,chemical,weekly,3,8,50,8,0.4,3.2
bottle_gourd,upo_smooth,wet,30.2,74.4,29.0,64.9,mixed,monthly,4,16,57,16,1.71,27.36
bitter_gourd,ampalaya_bilog,dry,26.7,57.3,3.5,69.8,chemical,biweekly,3,7,45,7,0.22,1.54
cucumber,pipino_native,wet,28.9,82.3,19.1,52.0,mixed,weekly,4,12,37,12,0.3,3.6
bitter_gourd,ampalaya_oblong,dry,31.9,58.0,0.1,75.6,organic,none,4,17,44,17,0.38,6.46
