gourd_type,variety_name,planting_date,days_since_planting,avg_temperature,avg_humidity,avg_rainfall_mm,soil_moisture,sunlight_hours,fertilizer_type,fertilizer_frequency,watering_frequency,soil_ph,plant_health_score,vine_length_cm,leaf_count,days_to_first_flower,male_flower_count,female_flower_count,pollinated_count,successful_pollinations,days_to_pollination_result,pollination_success_rate,days_to_fruit_maturity,mature_fruit_count,avg_fruit_weight_kg,total_yield_kg,season,region_climate
bitter_gourd,ampalaya_bilog,2025-03-15,45,28.5,75.2,12.3,65.0,7.2,organic,weekly,daily,6.4,4,185.5,32,35,18,8,6,5,7,0.83,45,4,0.35,1.4,wet,tropical
bottle_gourd,upo_smooth,2025-03-20,50,29.1,72.8,10.5,62.0,7.5,mixed,biweekly,daily,6.5,5,245.3,45,40,25,12,10,9,8,0.90,50,8,1.85,14.8,wet,tropical
sponge_gourd,patola,2025-04-01,42,27.8,78.5,15.2,70.0,6.8,organic,weekly,twice_daily,6.3,4,198.2,38,38,22,10,8,7,6,0.88,42,6,0.55,3.3,wet,tropical
cucumber,pipino,2025-03-25,38,26.5,68.3,8.5,58.0,8.0,chemical,biweekly,daily,6.6,4,145.8,28,32,30,15,12,10,5,0.83,35,9,0.28,2.52,wet,tropical
bitter_gourd,ampalaya_bilog,2025-04-10,52,30.2,70.5,9.8,60.0,7.8,mixed,weekly,daily,6.5,5,215.4,40,33,24,11,9,8,6,0.89,43,7,0.38,2.66,wet,tropical
bottle_gourd,upo_long,2025-03-28,55,28.8,74.2,11.2,64.0,7.3,organic,biweekly,daily,6.4,4,285.6,52,42,28,14,12,10,7,0.83,52,9,2.15,19.35,wet,tropical
sponge_gourd,patola,2025-04-05,48,28.2,76.8,13.5,68.0,6.5,mixed,weekly,twice_daily,6.2,3,178.3,35,40,19,9,7,5,7,0.71,44,4,0.48,1.92,wet,tropical
cucumber,pipino,2025-04-15,35,27.0,65.5,7.2,55.0,8.2,organic,weekly,daily,6.7,5,158.2,32,30,35,18,15,14,5,0.93,33,13,0.32,4.16,wet,tropical
bitter_gourd,ampalaya_oblong,2025-03-18,58,29.5,73.0,10.8,63.0,7.0,chemical,biweekly,daily,6.3,4,225.8,42,36,22,10,8,7,7,0.88,46,6,0.42,2.52,wet,tropical
bottle_gourd,upo_smooth,2025-04-02,48,28.0,71.5,9.5,61.0,7.6,organic,weekly,daily,6.6,4,235.4,43,41,26,13,11,9,7,0.82,51,8,1.92,15.36,wet,tropical
sponge_gourd,patola,2025-03-22,55,29.0,77.2,14.0,69.0,6.9,mixed,biweekly,twice_daily,6.4,5,218.5,42,37,25,12,10,9,6,0.90,41,8,0.52,4.16,wet,tropical
cucumber,pipino,2025-04-08,32,25.8,66.8,6.8,56.0,8.5,mixed,weekly,daily,6.5,4,135.6,25,31,28,14,11,9,4,0.82,34,8,0.30,2.4,wet,tropical
bitter_gourd,ampalaya_bilog,2025-05-01,40,31.5,68.2,8.0,58.0,8.0,organic,weekly,twice_daily,6.5,4,165.3,28,36,16,7,5,4,7,0.80,44,3,0.36,1.08,dry,tropical
bottle_gourd,upo_smooth,2025-05-05,45,30.8,65.5,6.5,55.0,8.3,mixed,biweekly,twice_daily,6.4,3,215.8,38,43,21,10,8,6,8,0.75,53,5,1.78,8.9,dry,tropical
sponge_gourd,patola,2025-05-10,38,29.8,70.0,7.8,60.0,7.5,organic,weekly,twice_daily,6.3,4,168.4,30,39,18,8,6,5,6,0.83,43,4,0.50,2.0,dry,tropical
cucumber,pipino,2025-05-15,30,28.5,62.3,5.5,52.0,8.8,chemical,biweekly,twice_daily,6.6,3,118.5,22,33,24,12,9,7,5,0.78,36,6,0.26,1.56,dry,tropical
bitter_gourd,ampalaya_bilog,2025-06-01,48,32.0,72.5,15.5,70.0,6.5,mixed,weekly,daily,6.4,4,195.2,35,34,20,9,7,6,6,0.86,42,5,0.38,1.9,wet,tropical
bottle_gourd,upo_long,2025-06-05,52,31.2,75.8,18.2,72.0,6.0,organic,weekly,daily,6.5,4,265.4,48,40,27,13,11,9,7,0.82,50,8,2.05,16.4,wet,tropical
sponge_gourd,patola,2025-06-10,45,30.5,78.2,16.8,73.0,6.2,mixed,biweekly,daily,6.2,3,185.6,34,39,17,8,6,4,7,0.67,45,3,0.46,1.38,wet,tropical
cucumber,pipino,2025-06-15,40,29.2,69.5,12.0,65.0,7.0,organic,weekly,daily,6.7,5,162.3,33,31,32,16,13,12,5,0.92,34,11,0.31,3.41,wet,tropical
bitter_gourd,ampalaya_oblong,2025-07-01,55,28.8,80.5,22.0,78.0,5.5,organic,weekly,daily,6.3,3,188.5,36,38,15,7,5,3,8,0.60,48,2,0.35,0.7,wet,tropical
bottle_gourd,upo_smooth,2025-07-05,60,29.5,78.2,20.5,75.0,5.8,mixed,weekly,daily,6.4,4,278.3,50,42,29,14,12,10,7,0.83,52,9,1.88,16.92,wet,tropical
sponge_gourd,patola,2025-07-10,50,28.2,82.0,24.0,80.0,5.2,organic,biweekly,daily,6.2,3,175.4,33,41,14,6,4,2,8,0.50,47,1,0.42,0.42,wet,tropical
cucumber,pipino,2025-07-15,42,27.5,75.8,18.5,72.0,6.0,mixed,weekly,daily,6.5,4,155.8,30,33,26,13,10,8,5,0.80,36,7,0.29,2.03,wet,tropical
bitter_gourd,ampalaya_bilog,2025-08-01,50,27.2,76.5,16.0,72.0,6.5,mixed,weekly,daily,6.5,5,205.6,38,35,22,10,8,7,6,0.88,44,6,0.40,2.4,wet,tropical
bottle_gourd,upo_smooth,2025-08-05,55,28.0,73.8,14.2,68.0,7.0,organic,biweekly,daily,6.6,5,255.8,46,41,30,15,13,12,7,0.92,51,11,1.95,21.45,wet,tropical
