gourd_type,variety_name,season,avg_temperature,avg_humidity,sunlight_hours,soil_moisture,fertilizer_type,plant_health_score,vine_length_cm,leaf_count,male_flower_count,female_flower_count,is_hand_pollinated,pollinated_count,successful_pollinations,pollination_success_rate
bitter_gourd,ampalaya_oblong,dry,34.0,67.3,8.9,58.5,organic,5,490.9,77,110,30,1,27,15,0.635
squash,kalabasa,wet,30.2,80.2,6.9,50.7,mixed,4,942.1,100,79,30,1,28,19,0.663
squash,kalabasa_native,wet,26.1,78.9,4.3,67.8,none,4,617.0,100,55,15,0,14,5,0.406
cucumber,pipino_japanese,wet,32.0,79.4,5.7,59.2,none,3,485.1,75,59,25,1,24,10,0.355
cucumber,pipino,wet,31.3,77.9,6.5,71.9,chemical,4,444.8,74,65,30,1,30,16,0.518
squash,kalabasa_native,wet,30.0,72.4,4.1,73.3,organic,4,504.1,84,83,22,1,20,13,0.648
bitter_gourd,ampalaya_oblong,wet,31.9,86.3,6.6,76.3,chemical,3,322.2,52,43,11,1,8,2,0.47
bottle_gourd,upo_long,dry,31.0,61.8,8.0,77.2,organic,5,795.7,100,58,20,0,17,9,0.606
sponge_gourd,patola,dry,27.8,68.0,8.2,60.8,chemical,4,580.9,95,74,30,1,26,14,0.542
sponge_gourd,patola_ridged,wet,29.3,71.6,7.0,66.6,organic,4,679.5,100,61,28,1,26,14,0.619
squash,kalabasa_hybrid,dry,30.2,65.3,9.5,79.8,none,4,511.6,79,46,13,1,13,7,0.407
bottle_gourd,upo_long,wet,28.3,89.5,4.1,69.0,chemical,4,926.2,100,89,27,1,26,10,0.462
squash,kalabasa_hybrid,wet,30.2,76.3,6.0,67.3,mixed,4,874.5,100,87,30,1,30,15,0.543
bottle_gourd,upo_round,dry,27.8,72.0,7.9,60.4,none,3,485.4,69,30,10,1,8,2,0.344
bitter_gourd,ampalaya_bilog,wet,27.5,70.2,6.6,75.7,none,4,695.6,100,76,26,1,22,9,0.498
cucumber,pipino,dry,28.6,65.3,7.2,76.7,chemical,4,321.3,65,52,30,1,27,14,0.542
bitter_gourd,ampalaya_hybrid,wet,29.9,86.8,4.1,60.9,chemical,4,234.0,37,7,2,0,1,0,0.383
sponge_gourd,patola_smooth,dry,34.0,63.2,8.9,60.5,none,3,424.9,80,48,24,0,22,8,0.347
cucumber,pipino,dry,31.0,56.9,7.2,74.2,none,4,573.1,86,73,30,1,28,10,0.439
cucumber,pipino_native,wet,28.0,72.6,6.0,67.2,organic,4,424.7,68,52,27,1,27,20,0.671
sponge_gourd,patola,wet,28.3,83.1,4.3,56.8,mixed,3,288.3,43,34,13,1,9,7,0.547
cucumber,pipino,dry,24.1,70.1,9.7,74.4,mixed,4,228.4,29,37,15,1,13,8,0.637
cucumber,pipino_native,dry,25.8,73.1,9.7,79.4,chemical,3,327.0,54,54,22,0,20,6,0.398
cucumber,pipino_native,wet,26.4,72.0,6.1,72.0,none,3,201.1,34,19,10,0,8,4,0.327
cucumber,pipino_japanese,dry,33.1,65.2,8.9,51.5,chemical,3,142.6,28,21,10,1,10,7,0.488
cucumber,pipino_native,wet,29.5,76.1,5.1,62.7,none,3,272.0,53,49,27,1,23,10,0.374
squash,kalabasa_hybrid,wet,28.9,79.6,6.0,50.8,organic,4,990.4,100,94,30,1,28,20,0.662
bitter_gourd,ampalaya_bilog,dry,32.2,58.3,8.3,50.6,chemical,4,627.5,100,75,30,1,26,12,0.534
squash,kalabasa_native,dry,34.7,56.4,9.0,66.3,organic,5,930.1,100,94,30,0,26,14,0.499
squash,kalabasa_native,dry,24.6,64.4,7.8,64.9,organic,4,299.5,62,5,2,0,1,1,0.503
cucumber,pipino_japanese,dry,30.3,67.8,8.3,76.3,mixed,5,433.6,68,59,25,1,25,17,0.661
cucumber,pipino_native,dry,24.1,70.9,9.9,60.7,chemical,3,341.9,54,46,20,1,18,9,0.491
bitter_gourd,ampalaya_oblong,wet,27.8,85.8,5.7,63.4,none,4,432.4,72,68,19,1,19,8,0.484
bottle_gourd,upo_smooth,dry,33.6,63.8,9.0,54.1,organic,4,454.7,77,32,11,0,10,3,0.544
bottle_gourd,upo_long,wet,27.6,79.7,4.5,62.7,chemical,4,442.7,71,38,15,0,14,6,0.435
squash,kalabasa_hybrid,wet,28.2,79.2,4.6,59.8,organic,3,764.7,100,89,25,1,25,18,0.642
bottle_gourd,upo_round,wet,26.8,84.0,4.3,71.1,chemical,3,327.3,59,18,9,0,7,1,0.379
sponge_gourd,patola_smooth,dry,31.9,59.8,7.5,70.4,mixed,5,865.9,100,62,30,0,28,12,0.439
bitter_gourd,ampalaya_oblong,dry,25.8,59.7,9.2,61.5,mixed,4,507.5,92,67,17,1,13,6,0.509
cucumber,pipino_native,dry,32.0,56.1,8.7,60.0,organic,4,270.1,57,30,12,1,12,7,0.595
bitter_gourd,ampalaya_bilog,wet,30.5,83.5,7.0,68.6,mixed,4,435.3,73,75,21,0,21,13,0.575
squash,kalabasa,wet,28.5,84.1,4.5,52.8,mixed,4,635.4,100,67,17,0,14,8,0.573
bottle_gourd,upo_round,wet,27.1,88.1,4.2,64.0,mixed,4,692.6,100,74,26,1,24,15,0.613
cucumber,pipino_japanese,dry,27.9,57.7,9.1,58.3,chemical,4,194.8,28,22,10,0,9,2,0.479
bottle_gourd,upo_smooth,dry,32.4,66.4,8.7,55.2,chemical,4,796.9,100,59,25,0,23,10,0.517
cucumber,pipino_japanese,wet,28.6,86.6,5.0,58.5,organic,4,481.8,79,50,30,0,27,13,0.566
squash,kalabasa,dry,27.7,73.3,9.5,65.1,mixed,5,1046.6,100,106,30,1,28,19,0.662
bitter_gourd,ampalaya_bilog,wet,28.4,80.1,5.4,72.9,organic,4,708.0,100,105,29,1,27,21,0.721
squash,kalabasa,wet,31.5,81.7,6.4,60.8,chemical,3,522.7,84,45,12,0,11,6,0.422
sponge_gourd,patola_ridged,wet,28.6,77.4,6.7,74.8,chemical,4,411.6,69,34,16,1,15,8,0.697
bitter_gourd,ampalaya_hybrid,dry,24.2,69.4,9.0,61.6,chemical,2,374.2,70,79,20,0,16,4,0.352
sponge_gourd,patola_ridged,dry,33.6,61.4,7.9,56.1,mixed,4,482.9,76,83,30,1,26,16,0.628
bitter_gourd,ampalaya_hybrid,wet,28.9,79.2,6.7,57.3,mixed,5,747.0,100,88,30,1,28,16,0.618
cucumber,pipino_native,wet,29.4,80.8,5.1,79.7,none,5,268.5,45,27,12,1,12,6,0.428
bottle_gourd,upo_round,wet,30.7,71.0,4.1,73.4,organic,4,395.5,59,6,2,0,1,1,0.591
cucumber,pipino,wet,27.4,83.7,4.7,75.9,organic,5,691.8,100,55,30,1,27,19,0.778
